"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试获取用户信息接口","157","test_get_user_info","testcase","Wed Jun 11 17:08:05 CST 2025","passed","Wed Jun 11 17:08:05 CST 2025","TestAuthentication","test_login","",""
"测试用户登录接口","228","test_user_login","testcase","Wed Jun 11 17:08:05 CST 2025","passed","Wed Jun 11 17:08:05 CST 2025","TestAuthentication","test_login","",""
