"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试用户登录接口","379","test_user_login","testcase","Wed Jun 25 10:37:18 CST 2025","passed","Wed Jun 25 10:37:18 CST 2025","TestAuthentication","test_login","",""
"测试获取用户信息接口","374","test_get_user_info","testcase","Wed Jun 25 10:37:18 CST 2025","passed","Wed Jun 25 10:37:18 CST 2025","TestAuthentication","test_login","",""
